"281470721738165","281470721738165","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Sheffield","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","21","-","-","40"
"281470721824414","281470721824414","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Manchester","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","6","-","-","55"
"281470721910284","281470721910284","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Durham","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","25","-","-","36"
"281470722026903","281470722026903","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","TalkTalk Communications Limited","talktalkbusiness.co.uk","ISP/MOB","13285","TalkTalk Communications Limited","24","-","-","37"
"281470722539994","281470722539994","RES","DK","Denmark","Hovedstaden","Copenhagen","TDC Brands A/S","tdc.dk","ISP","203953","Hiper A/S","13","-","-","48"
"281470723192031","281470723192031","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","29","-","-","32"
"281470723287649","281470723287649","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","Exeter","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","20","-","-","41"
"281470723398471","281470723398471","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","7","-","-","54"
"281470723506907","281470723506907","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","16","-","-","45"
"281470723615904","281470723615904","RES","GB","United Kingdom of Great Britain and Northern Ireland","England","London","SKY UK Limited","sky.com","ISP/MOB","5607","SKY UK Limited","15","-","-","46"
