"92652039","92652039","PUB","SE","Sweden","Stockholms lan","Stockholm","Internet Vikings International AB","internetvikings.com","DCH","51747","Internet Vikings International AB"
"92739356","92739567","DCH","FR","France","Hauts-de-France","Roubaix","OVH SAS","ovh.com","DCH","16276","OVH SAS"
"93089496","93089496","VPN","RU","Russian Federation","Sverdlovskaya oblast'","Yekaterinburg","OJSC Rostelecom","rostelecom.ru","ISP/MOB","12389","PJSC Rostelecom"
"93674261","93674263","DCH","BA","Bosnia and Herzegovina","Republika Srpska","Bijeljina","Wirac.net D.O.O.","wirac.ba","DCH","59847","Wirac.net D.O.O."
"93720673","93720678","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust","lgfl.org.uk","DCH","-","-"
"93724409","93724411","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust","lgfl.org.uk","DCH","-","-"
"93728664","93728664","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","London Grid for Learning Trust","lgfl.org.uk","DCH","-","-"
"93969920","93969927","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","Sheffield","xilo - PH - Golf","as44574.net","DCH","44574","Network Services Ltd."
"94189486","94189489","VPN","EE","Estonia","Harjumaa","Tallinn","Angelnet Limited","openinternetexchange.net","DCH","58065","Orion Network Limited"
"94266866","94266871","DCH","RU","Russian Federation","Moskva","Moscow","Pride LLC","pride-net.ru","DCH","38934","Pride LLC"
"94448791","94448804","DCH","US","United States of America","Virginia","Ashburn","Hetzner Online GmbH","hetzner.de","DCH","213230","Hetzner Online GmbH"
"94477463","94477463","PUB","US","United States of America","Virginia","Ashburn","Hetzner Online GmbH","hetzner.de","DCH","213230","Hetzner Online GmbH"
"95410032","95410044","VPN","CA","Canada","Quebec","Montreal","GHOSTnet GmbH","ghostnet.de","DCH","-","-"
"95686908","95686911","DCH","KZ","Kazakhstan","Ulytau oblysy","Kazakhstan","IPX - FZCO","iplir.com","DCH","57013","Eurasia-Star LLP"
"95717888","95717897","VPN","RU","Russian Federation","Moskva","Moscow","Anchorfree GmbH","hotspotshield.com","DCH","9009","M247 Europe SRL"
"95759293","95759293","VPN","US","United States of America","Washington","Seattle","RapidSeedbox Ltd","rapidseedbox.com","DCH","60781","Leaseweb Netherlands B.V."
"95791838","95791838","PUB","FR","France","Ile-de-France","Le Kremlin-Bicetre","Ivan Bulavkin","onerinvestments.com","DCH","26548","PureVoltage Hosting Inc."
"95864417","95864421","VPN","US","United States of America","Connecticut","Berlin","WiredISP Inc.","wired-networks.com","DCH","7018","AT&T Enterprises LLC"
"95943892","95943892","PUB","CA","Canada","Ontario","Toronto","Ivan Bulavkin","onerinvestments.com","DCH","26548","PureVoltage Hosting Inc."
"96217856","96218028","DCH","RU","Russian Federation","Sankt-Peterburg","Saint Petersburg","JSC Selectel","selectel.com","DCH","49505","JSC Selectel"
"96262945","96262945","DCH","SE","Sweden","-","-","Petersburg Internet Network Ltd.","pinspb.ru","DCH","34665","Petersburg Internet Network Ltd."
"96329626","96329630","DCH","RU","Russian Federation","Moskva","Moscow","EdgeCenter LLC","edgecenter.ru","DCH","210756","EdgeCenter LLC"
"96779668","96779911","DCH","FR","France","Hauts-de-France","Roubaix","OVH SAS","ovh.com","DCH","16276","OVH SAS"
"98700673","98700673","PUB","FR","France","Bourgogne-Franche-Comte","Rouvray","Criann Association Declaree","criann.fr","DCH","199677","Criann Association Declaree"
"98733256","98733256","PUB","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Hydra Communications Ltd","zare.com","DCH","25369","Hydra Communications Ltd"
"98857130","98857130","DCH","RU","Russian Federation","Moskva","Moscow","NCN BBCUST","rt.ru","DCH","42610","PJSC Rostelecom"
"98858891","98858896","DCH","RU","Russian Federation","Moskva","Moscow","NCN BBCUST","rt.ru","DCH","42610","PJSC Rostelecom"
"99053130","99053161","DCH","CA","Canada","Quebec","Montreal","GHOSTnet GmbH IP-Services","ghostnet.de","DCH","19318","Interserver Inc"
"100419801","100419839","DCH","FR","France","Ile-de-France","Paris","Cyber Assets Fzco","cyberassets.ae","DCH","3356","Level 3 Parent LLC"
"100495715","100495715","DCH","GB","United Kingdom of Great Britain and Northern Ireland","England","London","Clouvider Limited","clouvider.co.uk","DCH","62240","Clouvider Limited"
"100542977","100542978","DCH","US","United States of America","Virginia","Ashburn","Voxility LLP","voxility.com","DCH","3223","Voxility LLP"
"100570986","100570986","PUB","HK","Hong Kong","Hong Kong","Hong Kong","Layerlinks Global Lmited","layerlinks.com","DCH","59371","Dimension Network & Communication Limited"
"134648064","134648319","DCH","US","United States of America","Massachusetts","Boston","CloudFlare Inc.","cloudflare.com","CDN","13335","CloudFlare Inc."
"135102769","135102769","DCH","US","United States of America","New York","New York City","Level 3 Communications Inc.","level3.com","DCH","1","Level 3 Parent LLC"
"135615488","135616511","DCH","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"136172432","136172435","DCH","US","United States of America","Connecticut","Norwalk","Datto Inc","datto.com","DCH","46887","Crown Castle Fiber LLC"
"136453376","136454141","DCH","US","United States of America","Louisiana","Monroe","CXP Capital LLC","tierpoint.com","DCH","17378","TierPoint LLC"
"137002216","137002217","DCH","SG","Singapore","Singapore","Singapore","Ebay Inc","ebay.com","DCH","62955","Ebay Inc"
"137427330","137427330","PUB","US","United States of America","Louisiana","Monroe","Level 3 Communications Inc.","level3.com","DCH","3356","Level 3 Parent LLC"
"142683031","142683187","DCH","CN","China","Guangdong","Shenzhen","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","37963","Hangzhou Alibaba Advertising Co. Ltd."
"143170887","143170887","PUB","CN","China","Zhejiang","Hangzhou","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","37963","Hangzhou Alibaba Advertising Co. Ltd."
"143901185","143901185","PUB","CN","China","Beijing","Beijing","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","37963","Hangzhou Alibaba Advertising Co. Ltd."
"146351769","146351769","PUB","CN","China","Zhejiang","Hangzhou","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","134963","Alibaba Cloud (Singapore) Private Limited"
"147940429","147940467","DCH","DE","Germany","Hessen","Frankfurt am Main","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","45102","Alibaba (US) Technology Co. Ltd."
"148001487","148001568","DCH","HK","Hong Kong","Hong Kong","Hong Kong","Alibaba Cloud (Singapore) Private Limited","alicloud.com","DCH","45102","Alibaba (US) Technology Co. Ltd."
